City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
570,Obodivka,UA,42.01,overcast clouds,48.41,29.25,Kingsgate Hotel Te Anau
580,Wajima,JP,33.8,light snow,37.4,136.9,مسجد الشيخ ابوالليل
581,Verkhnyaya Toyma,RU,11.73,overcast clouds,62.23,45.0,Wajiima Onsen Yashio
589,Timaru,NZ,52.29,overcast clouds,-44.4,171.25,Gostinitsa
590,Tazmalt,DZ,48.2,scattered clouds,36.39,4.4,The Grosvenor
595,Portland,US,43.0,broken clouds,45.52,-122.68,Hôtel Numédia
598,Baryshivka,UA,37.0,light rain,50.36,31.32,The Bidwell Marriott Portland
599,Calera,US,34.0,scattered clouds,33.1,-86.75,"The regional children's sanatorium ""Polyana"""
600,Ketchikan,US,35.6,overcast clouds,55.34,-131.65,Americas Best Value Inn & Suites Birmingham Calera
603,Dawlatabad,AF,43.43,overcast clouds,36.41,64.91,Snows Cove Lodge
609,Council Bluffs,US,12.2,clear sky,41.26,-95.86,WASIM ASGAR KHAN
610,Stephenville,US,48.99,clear sky,32.22,-98.2,Holiday Inn Express & Suites Council Bluffs - Conv Ctr Area
615,Kamaishi,JP,35.6,scattered clouds,39.27,141.88,Holiday Inn Express & Suites Stephenville
618,Pavia,IT,46.99,few clouds,45.18,9.16,Hotel Route Inn Kamaishi
625,Taylor,US,51.8,clear sky,32.3,-99.83,Cascina Scova Resort
626,Beyneu,KZ,9.9,scattered clouds,45.32,55.2,Elm Creek Bed & Breakfast
628,Sheltozero,RU,28.13,light snow,61.37,35.37,NUR
633,Ponta Delgada,PT,55.4,light rain,37.73,-25.67,The village of Vanino
638,San Antonio,US,53.6,clear sky,29.42,-98.49,Vila Nova Hotel
643,San Jeronimo,PE,52.05,moderate rain,-11.95,-75.28,Marriott Plaza San Antonio
651,Straseni,MD,46.4,overcast clouds,47.14,28.61,Tuki Llajta Pueblo Bonito Eco Lodge
655,Astoria,US,50.0,clear sky,46.19,-123.83,Castania Holiday Homes
656,Morehead,US,24.8,overcast clouds,37.27,-87.18,Best Western Astoria Bayfront Hotel
662,Wilhelmshaven,DE,37.4,clear sky,53.52,8.13,CCI Express Inn
670,Eyrarbakki,IS,46.4,light rain,63.86,-21.15,ATLANTIC Hotel Wilhelmshaven
672,Mackenzie,CA,28.4,overcast clouds,55.3,-123.17,Guesthouse 77
675,Mangan,IN,52.7,clear sky,27.52,88.53,Hilton Shop
677,Rexburg,US,17.6,clear sky,43.83,-111.79,Hotel Mout View
678,Feldkirchen An Der Donau,AT,43.0,broken clouds,48.35,14.05,AmericInn by Wyndham Rexburg BYUI
679,Starosubkhangulovo,RU,8.76,scattered clouds,53.1,57.44,Sonne - Hotel | Gasthof | Restaurant
680,Havre-Saint-Pierre,CA,35.6,overcast clouds,50.23,-63.6,"Gostinichnyy Kompleks ""Yulbars"""
683,Palmer,US,55.99,light intensity drizzle,42.16,-72.33,Auberge Niapiskau
685,Wegorzewo,PL,35.02,overcast clouds,54.22,21.74,Wedgewood Motel
686,Khasan,RU,22.71,clear sky,42.43,130.64,Gościniec przy Kei
688,Ceres,US,46.99,haze,37.59,-120.96,Krako Motorkár
692,Opole Lubelskie,PL,41.0,overcast clouds,51.15,21.97,Howard Johnson by Wyndham Modesto Ceres
694,Vardo,NO,24.91,overcast clouds,70.37,31.11,Hotel Zacisze
697,Kichmengskiy Gorodok,RU,11.79,overcast clouds,59.98,45.79,Vardø Hotel AS
698,Mountain Home,US,37.4,clear sky,43.13,-115.69,Gostinitsa
